timestamp,episode,rounds,winrate_p1,winrate_p2,avg_kills_p1,avg_kills_p2,avg_alive_p1,avg_alive_p2,avg_score_p1,avg_score_p2
1771518912,1,1,0.0000,1.0000,0.0000,0.0000,114.0000,114.4000,-2306.7887,-2004.0242
1771518913,1,1,1.0000,0.0000,0.0000,0.0000,48.8000,48.2667,164.9903,-360.5563
1771518915,1,1,1.0000,0.0000,0.0000,0.0000,120.6667,120.5333,-2275.7772,-1827.6759
1771518915,1,1,1.0000,0.0000,0.0000,0.0000,68.2667,67.8667,-1316.3811,-1087.0966
1771518915,1,1,1.0000,0.0000,0.0000,0.0000,90.4000,90.1333,-4041.8862,-4763.7796
1771518917,1,1,0.0000,1.0000,0.0000,0.0000,125.8667,126.1333,-1820.1247,-1381.9013
1771518917,1,1,0.0000,1.0000,0.0000,0.0000,91.6000,91.8667,-1983.1975,-1637.7558
1771518919,1,1,1.0000,0.0000,0.0000,0.0000,83.7333,83.3333,-961.7775,-1446.7269
1771518919,1,1,1.0000,0.0000,0.0000,0.0000,78.0000,77.4667,-585.3596,-1767.7963
1771518921,1,1,1.0000,0.0000,0.0000,0.0000,106.9333,106.5333,-2235.5245,-2335.2145
1771518921,1,1,1.0000,0.0000,0.0000,0.0000,86.8000,86.6667,-1858.1769,-856.9191
1771518922,1,1,1.0000,0.0000,0.0000,0.0000,149.4667,149.4667,-1869.2242,-1107.1642
1771518924,1,1,1.0000,0.0000,0.0000,0.0000,24.4000,24.0000,524.6684,-281.9396
1771518935,1,1,0.0000,1.0000,0.0000,0.0000,59.2000,59.6000,-1558.3569,-637.2903
1771518935,1,1,0.0000,1.0000,0.0000,0.0000,128.4000,128.9333,-1896.2340,-2061.5462
1771518937,1,1,1.0000,0.0000,0.0000,0.0000,89.4667,89.2000,-3137.3000,-2625.5534
1771518938,1,1,1.0000,0.0000,0.0000,0.0000,87.3333,87.2000,-3208.2449,-1988.7353
1771518939,1,1,0.0000,1.0000,0.0000,0.0000,42.6667,43.2000,-628.1277,707.8845
1771518939,1,1,1.0000,0.0000,0.0000,0.0000,96.5333,96.2667,-2663.6670,-1859.4070
1771518940,1,1,1.0000,0.0000,0.0000,0.0000,66.9333,66.5333,-686.1984,-818.4036
1771518940,1,1,1.0000,0.0000,0.0000,0.0000,79.3333,78.8000,-2245.4841,-1948.8152
1771518940,1,1,1.0000,0.0000,0.0000,0.0000,93.6000,93.6000,-1236.0758,-256.4973
1771518941,1,1,1.0000,0.0000,0.0000,0.0000,112.9333,112.9333,-2982.5451,-1626.7040
1771518943,1,1,1.0000,0.0000,0.0000,0.0000,75.6000,75.3333,-638.7702,-364.2813
1771518943,1,1,1.0000,0.0000,0.0000,0.0000,107.0667,106.8000,-2330.5355,-1787.1255
1771518944,1,1,1.0000,0.0000,0.0000,0.0000,97.8667,97.4667,-3568.6120,-3003.2297
1771518945,1,1,0.0000,1.0000,0.0000,0.0000,122.5333,122.5333,-1799.6087,-1217.6221
1771518945,1,1,0.0000,1.0000,0.0000,0.0000,42.2667,42.8000,-59.1355,885.1119
1771518945,1,1,0.0000,1.0000,0.0000,0.0000,62.2667,62.8000,-889.4783,359.1617
1771518946,1,1,0.0000,1.0000,0.0000,0.0000,48.8000,49.3333,-708.4424,50.4742
1771518947,1,1,0.0000,1.0000,0.0000,0.0000,42.5333,42.9333,-226.0884,788.4760
1771518947,1,1,1.0000,0.0000,0.0000,0.0000,68.8000,68.4000,-1175.4166,-893.8140
1771518948,1,1,1.0000,0.0000,0.0000,0.0000,60.1333,59.7333,-1140.2314,-513.9718
1771518949,1,1,1.0000,0.0000,0.0000,0.0000,82.1333,82.2667,-1395.3874,-523.9696
1771518951,1,1,0.0000,1.0000,0.0000,0.0000,96.1333,96.6667,-2095.1364,-1119.7008
1771518952,1,1,1.0000,0.0000,0.0000,0.0000,94.6667,94.5333,-1022.7050,-740.7976
1771518957,1,1,1.0000,0.0000,0.0000,0.0000,127.8667,127.4667,-2547.9578,-3242.0189
1771526489,1,1,0.0000,1.0000,0.0000,3.0000,39.8667,40.2667,-1210.5569,-299.9569
1771526491,1,1,0.0000,1.0000,3.0000,4.0000,63.8667,64.0000,-703.1215,-556.0755
1771526492,1,1,1.0000,0.0000,3.0000,3.0000,79.7333,79.7333,-1042.9125,-1218.9587
1771526494,1,1,0.0000,1.0000,1.0000,3.0000,77.2000,77.4667,-1855.2632,-1554.4665
1771526496,1,1,1.0000,0.0000,4.0000,1.0000,88.1333,87.7333,-1515.1191,-1226.0169
1771526497,1,1,0.0000,1.0000,3.0000,3.0000,87.4667,87.4667,-1325.0198,-995.6962
1771526498,1,1,1.0000,0.0000,3.0000,1.0000,66.5333,66.2667,-1202.9408,-1458.0596
1771526498,1,1,0.0000,1.0000,3.0000,3.0000,86.5333,86.5333,-1348.1021,-349.8266
1771526499,1,1,1.0000,0.0000,2.0000,1.0000,93.7333,93.6000,-4014.7476,-2903.7284
1771526500,1,1,1.0000,0.0000,3.0000,3.0000,104.1333,104.1333,-1639.7904,-1298.3401
1771526500,1,1,1.0000,0.0000,3.0000,0.0000,91.8667,91.4667,-3298.6900,-2703.2411
1771526500,1,1,1.0000,0.0000,3.0000,1.0000,82.1333,81.8667,-2276.9080,-1434.5069
1771526501,1,1,1.0000,0.0000,4.0000,1.0000,76.0000,75.6000,-1055.9856,-1232.8060
1771526503,1,1,0.0000,1.0000,1.0000,2.0000,121.7333,121.8667,-4832.0186,-4084.5638
1771526505,1,1,1.0000,0.0000,4.0000,1.0000,52.1333,51.7333,-337.4170,-206.5859
1771526505,1,1,0.0000,1.0000,1.0000,4.0000,127.4667,127.8667,-2793.5058,-1351.8631
1771526507,1,1,1.0000,0.0000,2.0000,2.0000,122.0000,122.0000,-3642.3963,-2008.5319
1771526508,1,1,1.0000,0.0000,4.0000,2.0000,115.6000,115.3333,-2651.0691,-2247.6291
1771526508,1,1,1.0000,0.0000,3.0000,2.0000,101.3333,101.2000,-2550.6251,-1751.7264
1771526509,1,1,1.0000,0.0000,3.0000,1.0000,97.7333,97.4667,-3046.4157,-2125.1902
1771526509,1,1,1.0000,0.0000,3.0000,0.0000,66.4000,66.0000,-286.0063,-1829.6359
1771526510,1,1,1.0000,0.0000,2.0000,0.0000,99.2000,98.9333,-5538.0573,-5475.8817
1771526510,1,1,1.0000,0.0000,4.0000,1.0000,82.6667,82.2667,-1987.7001,-1643.1801
1771526511,1,1,1.0000,0.0000,3.0000,1.0000,92.5333,92.2667,-2496.5153,-2654.9509
1771526512,1,1,1.0000,0.0000,2.0000,2.0000,114.2667,114.2667,-3346.7121,-1804.2409
1771526520,1,1,1.0000,0.0000,4.0000,3.0000,68.1333,68.0000,-622.0987,-430.9558
1771526521,1,1,1.0000,0.0000,2.0000,1.0000,67.0667,66.9333,-1714.8937,-1188.0389
1771526524,1,1,0.0000,1.0000,3.0000,5.0000,71.7333,72.0000,-577.1081,147.8858
1771526524,1,1,0.0000,1.0000,2.0000,4.0000,268.6667,268.9333,-2270.1286,-3160.7064
1771526525,1,1,1.0000,0.0000,4.0000,2.0000,66.9333,66.6667,-1096.4410,-163.2447
1771526525,1,1,0.0000,1.0000,2.0000,4.0000,106.0000,106.2667,-836.9698,31.1532
1771526526,1,1,1.0000,0.0000,3.0000,1.0000,63.8667,63.6000,-1726.2652,-1391.9618
1771526526,1,1,1.0000,0.0000,3.0000,0.0000,83.6000,83.2000,-2071.7620,-2921.8791
1771526526,1,1,1.0000,0.0000,3.0000,1.0000,88.6667,88.4000,-2011.7750,-1685.3650
1771526528,1,1,1.0000,0.0000,4.0000,0.0000,82.0000,81.4667,-1879.5003,-1619.1237
1771526528,1,1,0.0000,1.0000,2.0000,5.0000,88.8000,89.2000,-1498.8669,-351.4694
1771526528,1,1,1.0000,0.0000,4.0000,1.0000,73.0667,72.6667,-661.7495,-776.3762
1771526530,1,1,1.0000,0.0000,4.0000,1.0000,98.2667,97.8667,-821.3081,-902.1587
1771526531,1,1,1.0000,0.0000,5.0000,1.0000,67.2000,66.6667,-730.9788,-877.9847
1771526532,1,1,1.0000,0.0000,2.0000,0.0000,88.0000,87.7333,-5035.3539,-4195.8073
1771526533,1,1,1.0000,0.0000,5.0000,1.0000,58.0000,57.4667,-51.2601,-232.8793
1771526534,1,1,0.0000,1.0000,2.0000,4.0000,72.2667,72.5333,-1412.0063,-1249.6054
1771526536,1,1,1.0000,0.0000,3.0000,0.0000,83.8667,83.4667,-2780.3894,-2394.7643
1771526537,1,1,1.0000,0.0000,4.0000,1.0000,76.1333,75.7333,-349.1749,-509.9944
1771526537,1,1,0.0000,1.0000,3.0000,1.0000,108.4000,108.1333,-3006.9467,-3073.0252
1771526537,1,1,1.0000,0.0000,4.0000,0.0000,74.4000,73.8667,-202.2855,-1031.3766
1771526538,1,1,1.0000,0.0000,2.0000,0.0000,106.2667,106.0000,-4929.4093,-5190.5471
1771526538,1,1,0.0000,1.0000,1.0000,1.0000,90.8000,90.8000,-4188.3563,-2771.3585
1771526540,1,1,1.0000,0.0000,2.0000,0.0000,98.2667,98.0000,-4182.3036,-4394.2348
1771526544,1,1,1.0000,0.0000,3.0000,1.0000,165.6000,165.3333,-3633.1947,-3725.9180
1771526548,1,1,1.0000,0.0000,4.0000,2.0000,60.8000,60.5333,739.8353,-94.8810
1771526553,1,1,1.0000,0.0000,3.0000,1.0000,77.2000,76.9333,-1902.3733,-1017.8911
1771526555,1,1,1.0000,0.0000,4.0000,0.0000,65.3333,64.8000,-67.4438,-1314.4804
1771526556,1,1,1.0000,0.0000,4.0000,1.0000,49.6000,49.2000,225.3287,-426.5255
1771526556,1,1,1.0000,0.0000,2.0000,0.0000,104.5333,104.2667,-6575.3820,-5665.8709
1771526556,1,1,1.0000,0.0000,3.0000,2.0000,87.2000,87.0667,-1236.0265,-1320.8790
1771526557,1,1,1.0000,0.0000,5.0000,3.0000,79.2000,78.9333,-427.8341,-500.7262
1771526558,1,1,1.0000,0.0000,3.0000,4.0000,94.8000,94.9333,-1085.0824,-894.6202
1771526558,1,1,1.0000,0.0000,3.0000,1.0000,76.6667,76.4000,-1734.3005,-864.3182
1771526558,1,1,1.0000,0.0000,4.0000,1.0000,60.1333,59.7333,-827.6212,-1062.0728
1771526559,1,1,1.0000,0.0000,4.0000,1.0000,78.1333,77.7333,-1725.7667,-1531.4814
1771526559,1,1,1.0000,0.0000,3.0000,2.0000,95.8667,95.7333,-2050.5519,-1305.9030
1771526561,1,1,0.0000,1.0000,1.0000,3.0000,106.2667,106.5333,-3204.0503,-2113.2814
1771526561,1,1,1.0000,0.0000,4.0000,0.0000,89.4667,88.9333,-1928.0634,-2078.9334
1771526563,1,1,0.0000,1.0000,0.0000,3.0000,47.3333,47.7333,-937.8627,156.4618
1771526564,1,1,0.0000,1.0000,2.0000,4.0000,48.8000,49.0667,-246.2004,-77.7826
1771526565,1,1,1.0000,0.0000,4.0000,0.0000,75.2000,74.6667,-291.0093,-1506.2426
1771526565,1,1,1.0000,0.0000,4.0000,1.0000,52.1333,51.7333,-719.8996,-875.0889
1771526566,1,1,1.0000,0.0000,4.0000,2.0000,102.2667,102.0000,-1767.0063,-1056.0367
1771526567,1,1,1.0000,0.0000,3.0000,0.0000,85.3333,84.9333,-2044.8442,-2183.0975
1771526568,1,1,1.0000,0.0000,2.0000,0.0000,75.2000,74.9333,-1892.0034,-2574.0145
1771526570,1,1,1.0000,0.0000,4.0000,3.0000,103.6000,103.4667,-1214.9196,-717.4637
1771526570,1,1,1.0000,0.0000,3.0000,0.0000,87.0667,86.6667,-2515.0789,-2574.3944
1771526572,1,1,1.0000,0.0000,4.0000,3.0000,120.0000,119.8667,-1493.8218,-975.3488
1771526572,1,1,0.0000,1.0000,1.0000,4.0000,107.2000,107.6000,-2721.8855,-1436.5967
1771526578,1,1,0.0000,1.0000,0.0000,3.0000,77.6000,78.0000,-1524.9266,-1159.1666
1771526580,1,1,0.0000,1.0000,0.0000,3.0000,111.6000,112.0000,-2229.1389,-1049.5522
1771526583,1,1,1.0000,0.0000,3.0000,0.0000,89.2000,88.8000,-3296.3877,-2797.3388
1771526583,1,1,1.0000,0.0000,4.0000,2.0000,89.0667,88.8000,-1638.9968,-1039.5612
1771526585,1,1,1.0000,0.0000,4.0000,1.0000,56.5333,56.1333,-871.6981,-1179.0014
